tratamento,1A,1B,1C,1D,1E,1F,2A,2B,2C,2D,2E,2F,3A,3B,3C,3D,3E,3F,4A,4B,4C,4D,4E,4F,5A,5B,5C,5D,5E,5F,6A,6B,6C,6D,6E,6F,7A,7B,7C,7D,7E,7F,8A,8B,8C,8D,8E,8F,9A,9B,9C,9D,9E,9F,1G,1H,1I,1J,2G,2H,2I,2J,3G,3H,3I,3J,4G,4H,4I,4J,6G,6H,6I,6J,5G,5H,5I,5J,8G,8H,8I,8J,7G,7H,7I,7J,9G,9H,9I,9J
2,,,,,,,Partially agree,"Pelo meu entendimento, talvez eu inverteria a ordem dos nomes pela ordem do que está sendo executado, pois o trecho de CreatesFixedOrderComparatorTakingObjectArray está ocorrendo antes de CompareThrowsIllegalArgumentException.",manually,"Creio que esse nome, embora extenso, descreve que a ação irá retornar uma exceção e nenhum outro nome disponível demonstra essa intenção.",manually,"Esse seria o nome mais descritivo que informa, além da exceção, a sua principal causa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"A quebra em diferentes métodos e a renomeação com o propósito do método criado no nome torna mais fácil a leitura do código mesmo esse contendo mais linhas, pois a compreensão das partes simplificada torna mais fácil a compreensão do todo.",Code D,Havendo necessidade de edição dos testes a manutenibilidade de um teste mais dividido por responsabilidades e bem nomeado se tornaria mais fácil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,,automatically,,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fully disagree,Nao dar para entender o que o método faz e nem quais paramentos tenho que passar ,manually,Dara para saber o que a funcao faz ,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Os testes estão com mais granularidades e os nomes das funções estão melhores,Code D,,,,,
1,Neither,Por que é apenas uma ordem de compração fixada.,automatically,por que é tem o mesmo significado do primeiro e mais curto.,automatically,porque ele está criando o argunto de excessão e criando um array de compração.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,De acordo com o título do teste sabe do que se trata,Code D,Porque o teste ficou mais claro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,Partially disagree,O JUnit oferece meios para adicionar uma descrição ao que o teste pretende testar. Acho que isso facilita na hora de enxergar o problema.,manually,"Embora eu tenha indicado manually, vejo que seria melhor colocar um nome de método menor, e usar a anotação DisplayName para uma melhor descrição (com espaços, pontos, etc).",manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Teste de unidade devem ser pontuais e testar somente uma unidade, especificamente, quando for possível. Um teste com vários asserts está testando, na verdade, várias coisas.",Code D,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,Um teste unitário deveria estar escrito em um formato de estória do usuário,manually,Está mais próximo de um Given_When_Then e da finalidade do teste que é lançar a exception,manually,Pela assinatura da chamada do método 166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"O nome do método expressa a finalidade do teste, está mais quebrado e menos verboso",Code D,"Quando um teste quebra, você consegue entender que teste e qual o objetivo do teste que está quebrando"
1,Fully disagree,"Eu simplesmente não entendi o que o teste faz somente lendo essa descrição sugerida. Seguindo as boas práticas nomes de métodos precisam ser descritivos e se possível evitar ao máximo nomes reservados como List, String, Null e etc. O Uncle Bob agradece! ;)",automatically,Simples e direto como deve ser! ,manually,O nome do teste descreve exatamente o que se quer testar. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Além do código estar mais enxuto e separadas em responsabilidades unitárias menores os nomes estão claros e descritivos. ,Code D,Além do código estar mais enxuto e separadas em responsabilidades unitárias menores os nomes estão claros e descritivos. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,Partially disagree,Acho que o nome ainda está ainda confuso.,manually,Acho que tem ser um nome que tem concordância e direto ao obetivo do teste.,manually,Porque ela relacionado com a operação de exception lançada e com a messagem retornada pela a exception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Os teste dessa opção está com responsabilidade unica e mais objetivo, até ajuda na correção de bugs, pois se o teste falhar vai está relacionando a um ponto de falha mais objetivo facilitanto a correção do mesmo.",Code D,Porque está com responsabilidade única e está mais objetivo,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Neither,"nome do teste está aceitavel, nem ótimo, nem péssimo, mas poderia melhorar",automatically,,manually,"respondi qualquer coisa, qual é a linha 236? na figura não mostra!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same readability,"Pra mim, todos estão com baixa legibilidade",Other,achei que todos estão com pouca legibilidade,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,"Acredito que seja pertinente devido ao fato de que dentro do teste, há comparações e lança exceções. Eu só mudaria o número. ",automatically,o nome do teste eu acho apropriado usar o test e um indicativo para o comportamento do teste.,automatically,acredito ser o mais apropriado por receber os 3 argumentos. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Achei mais organizado,Code D,achei o mais agradável visualmente.
